"datetime","Pittsburgh"
2012-10-01 12:00:00,281
2012-10-01 13:00:00,281
2012-10-01 14:00:00,281.024767377
2012-10-01 15:00:00,281.088318736
2012-10-01 16:00:00,281.151870096
2012-10-01 17:00:00,281.215421455
2012-10-01 18:00:00,281.278972814
2012-10-01 19:00:00,281.342524173
2012-10-01 20:00:00,281.406075533
2012-10-01 21:00:00,281.469626892
2012-10-01 22:00:00,281.533178251
2012-10-01 23:00:00,281.596729611
2012-10-02 00:00:00,281.66028097
2012-10-02 01:00:00,281.723832329
2012-10-02 02:00:00,281.787383688
2012-10-02 03:00:00,281.850935048
2012-10-02 04:00:00,281.914486407
2012-10-02 05:00:00,281.978037766
2012-10-02 06:00:00,282.041589126
2012-10-02 07:00:00,282.105140485
2012-10-02 08:00:00,282.168691844
2012-10-02 09:00:00,282.232243204
2012-10-02 10:00:00,282.295794563
2012-10-02 11:00:00,282.359345922
2012-10-02 12:00:00,282.422897281
2012-10-02 13:00:00,282.486448641
2012-10-02 14:00:00,282.55
2012-10-02 15:00:00,285.51
2012-10-02 16:00:00,287.07
2012-10-02 17:00:00,288.89
2012-10-02 18:00:00,291.07
2012-10-02 19:00:00,291.07
2012-10-02 20:00:00,291.07
2012-10-02 21:00:00,290.38
2012-10-02 22:00:00,289.44
2012-10-02 23:00:00,288.59
2012-10-03 00:00:00,288.16
2012-10-03 01:00:00,288.34
2012-10-03 02:00:00,288.16
2012-10-03 03:00:00,288.05
2012-10-03 04:00:00,287.61
2012-10-03 05:00:00,287.73
2012-10-03 06:00:00,287.72
2012-10-03 07:00:00,287.44
2012-10-03 08:00:00,287.44
2012-10-03 09:00:00,287.57
2012-10-03 10:00:00,288.02
2012-10-03 11:00:00,288.02
2012-10-03 12:00:00,289.46
2012-10-03 13:00:00,289.79
2012-10-03 14:00:00,290.62
2012-10-03 15:00:00,291.223333333
2012-10-03 16:00:00,291.826666667
2012-10-03 17:00:00,292.43
2012-10-03 18:00:00,294.17
2012-10-03 19:00:00,294.88
2012-10-03 20:00:00,295.73
2012-10-03 21:00:00,295.89
2012-10-03 22:00:00,295.215
2012-10-03 23:00:00,294.54
2012-10-04 00:00:00,293.51
2012-10-04 01:00:00,292.96
2012-10-04 02:00:00,292.28
2012-10-04 03:00:00,291.94
2012-10-04 04:00:00,291.25
2012-10-04 05:00:00,291.53
2012-10-04 06:00:00,291.53
2012-10-04 07:00:00,291.53
2012-10-04 08:00:00,291.18
2012-10-04 09:00:00,291.43
2012-10-04 10:00:00,292.05
2012-10-04 11:00:00,292.23
2012-10-04 12:00:00,292.23
2012-10-04 13:00:00,292.55
2012-10-04 14:00:00,292.73
2012-10-04 15:00:00,293.69
2012-10-04 16:00:00,294.36
2012-10-04 17:00:00,294.68
2012-10-04 18:00:00,295.38
2012-10-04 19:00:00,296.09
2012-10-04 20:00:00,296.14
